RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_ped_track_err ; ORCA_ped_track_err; RDS_collisions    ; ORCA_collisions   
1; 1.00018; 0.999977; 1.00205; 1.00035; 0.999759; 0.830047; 0.904064; 0.00851409; 0.00851409; 0.0985074; 0.161271; 0; 0
1.00059; 1.00065; 1.01639; 1.01629; 1.00045; 1.00065; 1.04434; 1.0594; 0.00363051; 0.00363051; 0.0822544; 0.0943919; 0; 0
0.999985; 0.99997; 0.999965; 0.99651; 1.00005; 1.00002; 0.995382; 0.968466; 0.0369878; 0.0369878; 0.141592; 0.158467; 0; 0
0.999994; 0.999996; 0.992298; 0.984629; 1; 0.999989; 1.10338; 1.13415; 0.078783; 0.078783; 0.225123; 0.318267; 0; 0
1.00005; 1; 1.00587; 1.00253; 1.00013; 1.00007; 1.07317; 1.09562; 0.215259; 0.215259; 0.130913; 0.155029; 0; 0
1.00003; 1.00003; 0.958978; 1.00329; 0.998634; 0.998814; 1.3581; 1.13651; 0.0270295; 0.0270295; 0.144027; 0.124602; 0; 0
1; 0.999899; 0.997854; 0.980214; 1.00002; 1.00002; 1.12521; 1.13563; 0.0261617; 0.0261617; 0.190436; 0.222702; 0; 0
0.99984; 1.0002; 0.994432; 0.974248; 0.999783; 0.999507; 1.06034; 1.11343; 0.0220344; 0.0220344; 0.196389; 0.47775; 0; 0
1.00004; 1.0001; 0.997658; 0.990713; 0.999894; 0.999684; 0.741214; 0.753129; 0.0269939; 0.0269939; 0.143375; 0.164687; 0; 0
1; 1; 0.995198; 0.988061; 0.999991; 0.999993; 1.11707; 1.14085; 0.0384009; 0.0384009; 0.216394; 0.243045; 0; 0
1.00003; 1.00004; 0.997248; 0.992092; 0.999827; 0.999687; 1.12422; 1.15088; 0.0501713; 0.0501713; 0.197547; 0.23602; 0; 0
1.00002; 1.00004; 0.994817; 0.983663; 0.999896; 0.999893; 1.06828; 1.09503; 0.0307338; 0.0307338; 0.240231; 0.334956; 0; 0
1.00003; 1.00011; 0.998235; 0.978134; 0.999898; 0.999568; 1.06909; 1.12886; 0.0382855; 0.0382855; 0.18948; 0.355816; 0; 0
1; 1.00006; 0.990927; 0.994375; 1.00011; 0.999682; 1.01062; 0.986999; 0.0340876; 0.0340876; 0.143171; 0.150897; 0; 0
1.00001; 1.00002; 0.998082; 0.994145; 1.00007; 0.999965; 0.990169; 1.0156; 0.0418973; 0.0418973; 0.127695; 0.140986; 0; 0
1.00001; 1.00003; 1.0003; 0.996591; 1; 0.999891; 0.872594; 0.892332; 0.0452182; 0.0452182; 0.128641; 0.158608; 0; 0
0.999947; 1.00003; 1.00126; 0.994475; 1.00003; 0.999988; 1.03178; 1.04362; 0.11575; 0.11575; 0.145425; 0.195939; 0; 0
1; 1; 1.0041; 0.989255; 0.999792; 0.999792; 1.00403; 1.09751; 0.0286522; 0.0286522; 0.102723; 0.117299; 0; 0
1; 0.999999; 0.992124; 0.988229; 1; 1; 1.16931; 1.17532; 0.0306032; 0.0306032; 0.189589; 0.194496; 0; 0
1; 1.00004; 0.996449; 0.995325; 1.00004; 0.99994; 1.12236; 1.12357; 0.0382776; 0.0382776; 0.188259; 0.223538; 0; 0
1; 1.00002; 0.996884; 0.977811; 1; 0.999876; 1.19557; 1.29995; 0.126769; 0.126769; 0.0884345; 0.132902; 0; 0
0.999986; 1.00004; 0.99513; 0.984044; 1.00002; 0.999572; 1.20163; 1.22926; 0.0791418; 0.0791418; 0.0927963; 0.185566; 0; 0
1.00001; 1.00006; 0.991337; 0.988479; 1.00002; 0.999902; 1.23959; 1.25258; 0.0306946; 0.0306946; 0.180075; 0.248672; 1; 0
0.999961; 1.00003; 0.982261; 0.973543; 0.9999; 0.999747; 0.951065; 0.992752; 0.0577626; 0.0577626; 0.123553; 0.19668; 1; 0
1.00011; 1.00013; 1.00409; 0.995045; 1.00007; 0.999743; 0.925916; 0.972585; 0.0659217; 0.0659217; 0.181812; 0.210836; 0; 0
1; 1; 0.999533; 0.993963; 0.999995; 0.99998; 1.03631; 1.05654; 0.0340349; 0.0340349; 0.149793; 0.183746; 0; 0
1.00001; 1.00006; 1.00197; 0.980277; 1.00008; 0.999779; 1.17454; 1.18542; 0.0301516; 0.0301516; 0.168647; 0.243093; 0; 0
1; 1; 0.999493; 0.991512; 0.99997; 0.99996; 1.12979; 1.18455; 0.0790437; 0.0790437; 0.157887; 0.20325; 0; 0
0.999979; 0.999959; 0.990574; 0.979211; 1.00017; 0.99986; 1.14956; 1.15807; 0.0202004; 0.0202004; 0.178773; 0.236446; 0; 0
1; 1.00003; 1.00139; 0.993102; 1.00007; 0.999845; 1.13722; 1.13095; 0.056346; 0.056346; 0.180107; 0.248514; 0; 0
1.00013; 1.00024; 0.992258; 0.988944; 0.998897; 0.998522; 0.818352; 0.838859; 0.0723622; 0.0723622; 0.155204; 0.185375; 0; 0
0.999996; 1; 1.00758; 0.981377; 0.999773; 0.999546; 0.742549; 0.820665; 0.0229785; 0.0229785; 0.112772; 0.125072; 0; 0
1; 1.00001; 0.998897; 0.995343; 1.00001; 0.999997; 1.2947; 1.2962; 0.035316; 0.035316; 0.146791; 0.150891; 0; 0
0.999967; 1.00014; 0.983024; 0.978651; 0.999961; 0.999135; 1.28047; 1.29329; 0.046048; 0.046048; 0.179532; 0.217033; 0; 0
0.999908; 1.00006; 0.990546; 0.99261; 0.999172; 0.998431; 0.733455; 0.727008; 0.0272371; 0.0272371; 0.117347; 0.166901; 0; 0
1.00014; 1.00035; 1.0061; 0.986908; 0.999076; 0.998304; 0.631878; 0.670784; 0.0327533; 0.0327533; 0.169252; 0.216178; 0; 0
1.00001; 1; 0.999019; 0.988627; 1.00003; 1.00002; 1.04883; 1.10762; 0.0677418; 0.0677418; 0.240879; 0.295275; 0; 0
1.00004; 1.00003; 0.997181; 0.99292; 0.999903; 0.999806; 1.26994; 1.27602; 0.025351; 0.025351; 0.272668; 0.269795; 0; 0
1.00002; 1.00005; 0.992375; 0.986288; 0.999961; 0.999997; 1.28791; 1.29012; 0.0274654; 0.0274654; 0.300582; 0.482936; 0; 0
0.999993; 0.999981; 0.998286; 0.952011; 0.999735; 0.999537; 0.707443; 0.774659; 0.0582779; 0.0582779; 0.122145; 0.20709; 0; 0
1; 1; 0.999319; 0.997641; 1.00004; 1.00003; 1.20863; 1.20016; 0.0931276; 0.0931276; 0.243994; 0.253024; 0; 0
1.0001; 1.00023; 1.00336; 0.986456; 1.00001; 1.00006; 1.10758; 1.11664; 0.0346535; 0.0346535; 0.355073; 0.417383; 0; 0
1.00001; 0.99995; 1.00383; 0.986247; 0.999676; 0.999744; 0.863625; 0.877516; 0.133557; 0.133557; 0.322628; 0.32193; 0; 0
1.00003; 1.00015; 0.99285; 0.992829; 1.0001; 0.999947; 1.21822; 1.21651; 0.259322; 0.259322; 0.329937; 0.404095; 0; 0
0.999997; 1.00002; 1.00081; 0.994752; 0.999876; 0.999758; 1.16323; 1.16512; 0.0281169; 0.0281169; 0.453389; 0.454109; 0; 0
1.00005; 1.00005; 0.990388; 0.982985; 0.999926; 0.999818; 1.16266; 1.16875; 0.0261292; 0.0261292; 0.333274; 0.430421; 0; 0
1.00002; 1.00001; 0.991834; 0.982109; 0.999993; 0.999886; 1.1851; 1.19426; 0.0216722; 0.0216722; 0.428104; 0.458088; 0; 0
1.00003; 1.00002; 0.99788; 0.991492; 1.00012; 0.999904; 1.16403; 1.16843; 0.0285031; 0.0285031; 0.276136; 0.313193; 0; 0
1.00002; 1.00011; 0.992033; 0.995272; 1.00016; 0.999819; 1.20644; 1.2112; 0.0224614; 0.0224614; 0.382666; 0.415396; 0; 0
1.00021; 1.00008; 1.00681; 0.987417; 1.00006; 1.00018; 0.832716; 0.831374; 0.0642337; 0.0642337; 0.361983; 0.333072; 0; 0
0.999983; 0.999988; 0.995395; 0.993523; 0.999994; 0.999961; 0.80975; 0.820108; 0.0788664; 0.0788664; 0.233583; 0.246602; 0; 0
0.999944; 0.999972; 0.986646; 0.97566; 1.00003; 0.999842; 1.24041; 1.22051; 0.0227346; 0.0227346; 0.330305; 0.365619; 0; 0
1.00001; 1.00001; 1.0023; 0.977151; 0.999973; 0.999975; 1.19054; 1.24261; 0.0359696; 0.0359696; 0.349616; 0.41555; 0; 0
0.999996; 1.00026; 0.98773; 1.0376; 0.999902; 1.00031; 1.18046; 1.26075; 0.0301571; 0.0301571; 0.421049; 0.625014; 0; 0
0.999987; 1.00013; 0.999166; 0.987555; 1.00007; 0.999663; 1.15323; 1.15592; 0.0216188; 0.0216188; 0.261423; 0.423236; 0; 0
1.00001; 1.00005; 0.997924; 0.984731; 1.00001; 0.999958; 1.1054; 1.13452; 0.0152837; 0.0152837; 0.277955; 0.313104; 0; 0
0.999964; 0.999978; 0.997396; 0.984217; 0.999951; 0.999974; 1.08937; 1.09764; 0.0200994; 0.0200994; 0.197496; 0.238061; 0; 0
1.00006; 1.00015; 1.0003; 1.00742; 0.999808; 0.999538; 1.24562; 1.22259; 0.0238491; 0.0238491; 0.148295; 0.192294; 0; 0
1.00022; 1.00037; 1.0041; 0.993331; 0.999376; 0.999033; 1.23878; 1.23087; 0.0230473; 0.0230473; 0.176669; 0.241774; 0; 0
1; 1.00006; 0.996464; 0.992496; 1.00006; 0.999659; 1.19145; 1.23963; 0.0718725; 0.0718725; 0.120461; 0.165436; 0; 0
0.999977; 1.00011; 0.992753; 0.981474; 1.00006; 0.998956; 1.1916; 1.21692; 0.0843224; 0.0843224; 0.126649; 0.172753; 0; 0
1.00005; 1.00021; 0.99256; 0.988721; 0.999699; 0.999568; 0.885018; 0.906345; 0.0755118; 0.0755118; 0.152098; 0.18586; 0; 0
