RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_collisions    ; ORCA_collisions   
0.997139; 0.999549; 0.984094; 0.985531; 1.00258; 0.992572; 1.08429; 0.789146; 0.57469; 1.5571; 0; 1
0.999827; 0.999827; 0.992979; 0.992341; 0.991726; 0.991726; 1.13228; 1.23739; 1.00012; 1.09647; 0; 0
0.999779; 0.999321; 0.994399; 0.99266; 0.989559; 0.991041; 0.925313; 1.00041; 0.497706; 1.80217; 0; 0
1.00978; 1.00884; 1.02243; 1.02211; 1.00409; 0.993203; 0.844455; 0.982172; 4.40823; 2.74094; 0; 0
0.999506; 1.00442; 1.00371; 0.996737; 1.04717; 1.00942; 1.0554; 0.900293; 1.72344; 0.884797; 0; 0
0.999112; 0.996197; 1.00602; 1.01131; 1.00308; 0.999959; 0.943388; 1.03043; 6.48701; 6.788; 0; 0
0.999946; 0.999671; 1.00838; 1.00285; 0.999019; 1.00185; 0.974827; 1.03949; 5.46677; 4.89507; 0; 2
1.00064; 0.993279; 1.00323; 1.007; 0.997055; 1.00893; 0.912213; 0.876376; 2.7267; 3.8921; 0; 0
0.997441; 1.00245; 1.00777; 0.997221; 0.993528; 0.993893; 0.701291; 0.835429; 3.02317; 1.241; 0; 0
0.997577; 1.00142; 1.00938; 1.00169; 0.997672; 1.00177; 1.14014; 1.12255; 1.92062; 2.98345; 0; 0
1.00728; 1.00088; 1.01938; 1.02767; 0.989406; 0.98312; 0.876682; 0.875556; 4.76402; 3.60989; 0; 0
0.999733; 0.999627; 1.00954; 1.00801; 0.986213; 0.977122; 1.0397; 1.01646; 1.64017; 0.510609; 0; 0
0.999608; 1.0001; 1.01749; 1.01449; 1.00314; 1.00544; 1.10619; 1.03717; 5.42756; 9.06823; 0; 1
0.999555; 0.993814; 1.01653; 1.02193; 1.00112; 1.00516; 0.946994; 0.974123; 6.1594; 7.94482; 0; 0
0.999936; 0.999967; 1.00704; 1.00773; 0.997538; 0.997338; 1.20785; 1.15788; 2.52945; 3.69948; 0; 0
0.991647; 0.993568; 1.01911; 1.01968; 1.05359; 1.01423; 0.949063; 1.0076; 9.14543; 8.12166; 0; 0
0.999852; 0.999797; 1.00679; 1.00539; 0.997588; 0.99552; 1.05876; 1.13611; 3.13172; 4.21968; 0; 0
1.00836; 1.0002; 1.00961; 1.01722; 0.990889; 1.02874; 1.0704; 1.25843; 1.87325; 3.18759; 0; 0
0.996258; 0.994945; 1.02835; 1.01952; 1.04541; 1.05029; 0.950301; 0.970247; 1.67021; 1.85404; 0; 1
1.00016; 0.996715; 1.01635; 1.0168; 1.01126; 1.00703; 1.06007; 1.01971; 4.29273; 5.37119; 0; 0
0.993332; 0.995481; 1.03189; 1.02828; 1.0207; 1.01179; 0.8942; 1.14972; 6.88472; 10.2055; 0; 0
1.0094; 1.0105; 1.00163; 1.0094; 1.00601; 1.00512; 0.829819; 0.826509; 2.23103; 2.86103; 0; 0
0.99728; 1.00788; 1.00091; 0.987793; 1.04811; 1.01257; 0.686185; 0.833875; 1.13231; 2.55801; 0; 0
0.995842; 0.999401; 1.00534; 1.00678; 1.0093; 0.972239; 0.931887; 0.995579; 2.85395; 1.16619; 0; 0
0.999629; 1.00081; 1.00465; 0.992013; 0.995053; 1.01754; 1.13418; 1.04274; 5.62616; 8.32999; 0; 3
0.998627; 0.992832; 1.00759; 1.00152; 1.00477; 1.00676; 1.18856; 1.17347; 6.04139; 8.43315; 0; 4
1.00974; 1.00799; 0.989924; 0.978128; 0.998026; 1.00527; 0.823253; 0.899191; 2.16344; 2.76141; 0; 0
0.998466; 1.00063; 0.990878; 0.982694; 0.981038; 0.983162; 1.21136; 1.22809; 0.250305; 0.934421; 0; 1
0.998532; 0.998942; 1.02159; 1.01446; 1.00781; 0.98645; 1.1016; 1.04574; 6.10918; 8.83121; 0; 0
0.996501; 0.997662; 0.98541; 0.969033; 1.0177; 1.03085; 0.866387; 0.683968; 0.354506; 3.05345; 0; 0
0.992547; 1.00184; 1.02788; 1.01435; 1.00955; 0.992473; 1.07406; 1.09471; 7.25961; 9.21101; 0; 0
1.00726; 0.999329; 0.994505; 1.00776; 0.998604; 0.999923; 1.17695; 1.10039; 2.32778; 6.99128; 0; 3
1.00322; 1.00149; 0.993789; 0.992308; 1.00576; 0.997791; 1.18659; 1.06222; 2.82842; 6.34041; 0; 0
0.995993; 0.995849; 1.00285; 0.992706; 1.01711; 0.992672; 1.11566; 1.05879; 4.81186; 10.4949; 0; 0
1.00171; 0.983633; 1.00711; 1.0198; 0.996924; 0.995965; 0.943956; 1.07921; 8.41465; 8.47866; 0; 0
0.997983; 1.00126; 1.00329; 1.00451; 1.015; 0.98795; 1.08424; 1.02734; 6.90113; 7.79955; 0; 0
0.997746; 0.99492; 1.01348; 1.01275; 1.00728; 0.995917; 0.87849; 0.926998; 4.4728; 6.91204; 0; 0
1.00194; 1.00609; 1.00027; 0.992901; 1.01297; 0.997642; 1.04862; 0.906019; 4.63434; 4.32572; 0; 0
1.00397; 1.00154; 1.00125; 0.987158; 1.00063; 0.996083; 1.22666; 1.12553; 5.91631; 7.15562; 0; 3
0.995824; 1.00105; 1.02884; 1.01499; 0.996213; 0.99547; 1.10977; 1.11122; 5.49262; 5.99882; 0; 0
1.00289; 0.999627; 1.00081; 1.00437; 0.999941; 1.01349; 0.969177; 1.00429; 7.26032; 10.8912; 0; 2
0.997268; 1.00228; 1.00245; 1.00166; 0.991481; 1.00546; 1.09925; 1.26153; 1.86102; 12.7433; 0; 3
1.00172; 1.00217; 0.994797; 0.981419; 1.01497; 1.00792; 0.884835; 0.85427; 8.67533; 8.34841; 0; 4
0.999344; 1.00072; 1.01173; 1.00225; 1.00234; 0.997837; 1.1377; 1.02824; 2.48009; 10.9954; 0; 0
1.00052; 0.993105; 1.00863; 1.01203; 0.986462; 0.987611; 1.26595; 1.29981; 1.26009; 1.77674; 0; 0
0.999789; 1.00072; 1.00884; 1.00846; 0.986148; 0.991565; 1.28409; 1.28504; 2.42043; 1.47626; 0; 0
0.999795; 0.999; 1.00488; 1.00438; 0.99098; 1.00047; 1.14772; 1.24301; 0.860645; 1.21174; 0; 0
0.999854; 0.998818; 1.00135; 1.00564; 0.992862; 1.00921; 1.16101; 1.38147; 0.816629; 1.60788; 0; 0
0.984442; 0.990603; 1.01205; 1.00409; 1.0239; 1.02402; 0.846977; 0.99293; 1.36766; 2.22896; 0; 1
1.0046; 1.01988; 1.00023; 0.982826; 1.03811; 1.00666; 0.994615; 0.90857; 2.57807; 4.76151; 0; 1
1.00404; 1.00302; 0.999582; 0.98974; 1.00065; 1.00159; 1.14788; 1.11645; 1.83929; 1.99904; 0; 2
1.00289; 1.00669; 0.990359; 0.983193; 0.995378; 1.00238; 1.17476; 1.16163; 1.75224; 2.53457; 0; 3
0.997548; 0.99451; 1.01025; 0.993463; 1.00377; 1.01394; 1.1494; 1.10888; 1.59173; 2.42995; 0; 6
0.984235; 0.99424; 1.02351; 1.01354; 1.01648; 0.996719; 1.22035; 1.28639; 1.73861; 2.93161; 0; 0
1.00612; 1.00061; 1.00988; 0.996862; 1.01961; 1.03414; 1.02775; 1.11492; 4.34882; 5.0895; 0; 1
0.991807; 0.989777; 1.01325; 1.01241; 1.0257; 1.00929; 1.07957; 1.29094; 4.22543; 5.89054; 0; 0
0.998224; 1.00204; 1.00387; 0.997262; 1.00136; 0.99976; 1.11058; 1.20978; 5.41102; 3.31571; 0; 0
1.00516; 1.00817; 1.00465; 0.99311; 1.00478; 0.999475; 1.05329; 0.905178; 7.10178; 8.68745; 0; 0
0.997348; 1.00024; 0.997041; 0.996943; 1.01997; 0.994694; 1.17664; 0.894249; 2.51544; 4.25397; 0; 2
0.993882; 0.995545; 1.00228; 0.994329; 1.06778; 1.04719; 0.663213; 0.697809; 3.22716; 3.69329; 0; 0
0.997888; 1.00006; 0.992495; 0.986332; 1.0136; 1.003; 0.731384; 0.871069; 0.839446; 1.5769; 0; 0
1.00486; 1.00167; 0.988527; 0.986091; 1.00533; 1.00088; 1.13429; 1.26224; 2.76649; 4.4698; 0; 0
1.00046; 0.999158; 1.00093; 1.0061; 1.00032; 0.993039; 1.01497; 1.03317; 5.43305; 6.69107; 0; 0
1.00302; 0.999514; 1.00154; 1.00527; 0.996619; 0.99516; 0.951378; 1.34312; 4.78495; 10.8443; 0; 0
0.994908; 0.998849; 1.00594; 1.0032; 1.02176; 1.00179; 0.984041; 1.01251; 3.58539; 5.35088; 0; 0
1.00029; 1.00178; 1.0187; 1.01807; 1.00959; 1.00772; 1.08722; 1.0987; 2.26132; 2.51699; 0; 0
1.00078; 1.00122; 1.01043; 1.00938; 0.999633; 0.995868; 1.08776; 1.03073; 6.6926; 6.02456; 0; 0
0.999125; 0.999125; 1.01535; 1.01472; 0.99087; 0.99615; 0.843187; 1.0268; 4.27301; 5.42662; 0; 0
1.00634; 1.00474; 0.98998; 0.989243; 1.00053; 1.00997; 0.800154; 0.754682; 1.86685; 5.26845; 0; 0
0.998405; 1.00485; 1.01336; 0.999693; 1.01405; 1.02026; 0.95899; 0.930887; 6.86559; 9.77954; 0; 6
0.985575; 1.00074; 1.00744; 0.98791; 1.04306; 1.0029; 0.647653; 0.748165; 2.74324; 5.18522; 0; 0
0.995906; 0.995467; 0.992696; 0.993636; 0.991813; 1.02552; 0.9135; 0.708309; 1.00579; 5.67654; 0; 0
0.996953; 0.995117; 1.0151; 1.00914; 1.01023; 1.00888; 1.23939; 1.24142; 2.64991; 4.66518; 0; 1
0.994916; 0.996004; 1.00534; 1.00678; 1.00211; 0.988738; 1.28878; 1.08455; 5.9498; 4.43585; 0; 0
0.99231; 1.00066; 1.03392; 1.02076; 1.04997; 0.988811; 1.34315; 1.27014; 7.46927; 6.15819; 0; 0
1.00302; 1.00599; 1.00226; 1.0037; 0.981432; 0.978327; 1.24898; 1.15893; 4.58914; 5.28001; 0; 0
1.00178; 1.00548; 1.00071; 0.999874; 0.991311; 0.996806; 1.24569; 1.13575; 7.30966; 4.94706; 0; 0
0.99594; 1.00022; 1.01584; 1.0065; 0.985323; 0.979315; 1.29789; 1.34316; 4.55837; 7.67777; 0; 1
1.00371; 1.00825; 0.99928; 0.996348; 1.00429; 0.98068; 1.19091; 1.23324; 5.91397; 6.05334; 0; 2
1.00946; 1.00412; 1.00118; 1.00188; 1.00726; 0.983845; 1.16201; 1.19538; 6.20716; 6.5293; 0; 0
0.999204; 1.00167; 1.00956; 1.00711; 1.03013; 1.00662; 1.07332; 1.11814; 1.94985; 1.90328; 0; 0
1.00054; 1.00375; 1.01203; 1.00671; 0.984892; 0.971587; 0.990183; 1.12581; 1.97119; 1.86031; 0; 0
0.998408; 0.999379; 1.01268; 1.00855; 1.00714; 1.00085; 1.12797; 1.11288; 5.94682; 3.17209; 0; 1
0.998753; 1.00119; 1.02985; 1.02745; 1.03496; 1.02823; 1.34463; 1.15671; 4.99599; 2.72145; 0; 0
1.00173; 1.00145; 0.993472; 0.999202; 0.990523; 0.990248; 1.13981; 0.996921; 3.20265; 2.44453; 0; 0
0.99871; 1.00184; 0.996219; 0.999034; 1.00019; 0.99082; 1.00782; 0.967588; 1.99806; 2.3737; 0; 0
1.00199; 1.00259; 1.02509; 1.02424; 1.01059; 1.0128; 1.38333; 1.24141; 4.17108; 2.8317; 0; 0
1.00504; 1.00387; 1.02578; 1.02454; 0.998534; 1.0035; 1.42904; 1.29964; 3.81697; 3.22663; 0; 0
0.994208; 0.98997; 1.04208; 1.03206; 1.01256; 1.03342; 1.17472; 1.21834; 5.1703; 6.27559; 0; 1
1.00462; 1.00188; 1.00001; 0.999772; 1.00108; 1.00754; 1.2448; 1.13125; 1.48112; 4.28207; 0; 0
0.985405; 0.992158; 1.01315; 1.00396; 1.02661; 1.02984; 1.03343; 1.08365; 2.78945; 5.11652; 0; 4
0.999487; 0.999322; 1.02427; 1.02443; 0.993906; 1.009; 1.08797; 1.15874; 1.17385; 12.3863; 0; 0
0.992458; 0.997816; 1.01481; 1.01107; 1.04118; 1.00184; 1.24908; 1.30677; 1.71981; 1.56399; 0; 0
0.988808; 1.00344; 1.01323; 0.995525; 1.0443; 0.992837; 1.23178; 1.34563; 2.1475; 2.40912; 0; 0
0.994564; 0.998962; 1.0063; 1.0057; 1.00564; 0.998585; 1.21698; 1.17141; 2.11158; 2.6929; 0; 0
0.997208; 0.998749; 0.999715; 0.996783; 1.01127; 1.00068; 1.09624; 0.949555; 3.77766; 5.55665; 0; 0
1.00026; 1.00022; 1.00181; 1.00261; 1.01854; 1.00615; 1.03942; 0.804818; 6.06342; 6.11471; 0; 0
0.988629; 0.995506; 1.0305; 1.01533; 1.02306; 1.00374; 1.10415; 1.29623; 4.2229; 1.82804; 0; 0
0.995162; 0.999332; 1.01494; 1.01171; 1.04282; 1.01034; 1.30682; 1.24935; 6.53587; 1.32742; 0; 0
0.996658; 1.00015; 1.02341; 1.01729; 1.00974; 0.992917; 1.16495; 0.880047; 6.79692; 6.12166; 0; 0
0.999556; 0.995898; 1.00302; 0.991256; 0.993641; 0.994234; 1.05289; 1.10757; 1.48282; 0.875141; 0; 0
1.00645; 1.00942; 0.993526; 0.99645; 1.01205; 1.01196; 1.22866; 0.817426; 5.78357; 5.67952; 0; 0
1.01017; 0.9949; 0.9908; 0.996196; 1.00018; 1.00123; 1.09002; 1.18124; 1.32794; 3.27111; 0; 2
0.996376; 1.00571; 1.00855; 0.997078; 0.996481; 0.992925; 1.05299; 1.04683; 1.18269; 1.50866; 0; 0
0.997739; 0.999666; 1.00352; 1.00373; 0.998118; 0.99548; 0.922606; 0.936788; 0.667915; 1.39982; 0; 0
0.999241; 0.999738; 0.998432; 0.995954; 0.995414; 0.992983; 0.969022; 0.968408; 1.52291; 1.81123; 0; 0
1.00093; 1.00326; 1.02443; 1.01377; 1.03417; 1.03595; 1.06352; 1.03154; 7.95104; 7.4154; 0; 1
1.0041; 1.00203; 1.00051; 0.991779; 0.995716; 1.00805; 1.20426; 1.24422; 5.88932; 1.99209; 0; 4
1.00267; 0.98197; 1.00701; 1.0215; 1.00446; 1.02055; 1.12779; 0.978445; 6.97143; 4.1123; 0; 0
0.994505; 0.991009; 1.01439; 0.980372; 1.00726; 0.99353; 1.1946; 1.02726; 6.10978; 5.66763; 0; 8
1.008; 1.00617; 0.988669; 0.975928; 1.00904; 1.00353; 1.18211; 1.34529; 7.59966; 8.00356; 0; 3
0.98072; 0.99187; 1.0234; 1.00516; 1.03339; 1.00841; 1.43165; 1.39359; 2.43067; 1.10083; 0; 3
1.00609; 1.0009; 1.00948; 1.00494; 0.980692; 0.978402; 1.54447; 1.45183; 1.29281; 0.834168; 0; 0
0.993444; 0.997631; 1.0018; 0.998224; 0.999757; 0.998439; 0.974687; 0.950926; 4.91804; 5.77786; 0; 2
0.990402; 0.98454; 1.01337; 0.995864; 0.994195; 0.997747; 0.961472; 1.2836; 4.48055; 3.22535; 0; 5
0.998407; 0.996881; 1.01024; 1.01542; 0.999472; 0.990215; 1.18849; 1.33847; 5.54426; 4.4956; 0; 2
1.00286; 0.988396; 0.993213; 1.02033; 0.992358; 0.981903; 0.957858; 1.22726; 4.3233; 8.64995; 0; 0
0.998101; 0.999948; 1.02177; 1.03219; 0.992437; 1.00232; 1.38137; 1.5202; 8.32014; 10.9239; 0; 1
0.99441; 1.002; 1.01152; 1.00773; 1.01835; 0.994542; 1.11404; 1.05013; 5.53682; 5.50574; 0; 0
1.0037; 1.00067; 0.998964; 1.00409; 1.01021; 0.987419; 1.22198; 1.49442; 5.84705; 10.611; 0; 0
0.994671; 1.01348; 0.99298; 0.990567; 0.996569; 0.994975; 1.06314; 1.36597; 3.93045; 5.45445; 0; 0
1.01238; 1.01239; 0.98918; 0.994075; 0.967311; 0.963617; 1.53917; 1.70947; 8.02845; 4.24786; 0; 0
0.999859; 0.997485; 1.00898; 1.0137; 0.962022; 0.96808; 1.33616; 1.28262; 5.58181; 1.18318; 0; 0
0.99961; 0.999697; 1.00562; 1.00707; 0.984551; 0.982847; 1.44241; 1.71607; 2.29808; 6.91357; 0; 0
0.997871; 1.00215; 1.00406; 1.00303; 0.975012; 0.980712; 1.36506; 1.41085; 1.86267; 1.60769; 0; 0
1.00154; 0.999747; 1.02555; 1.03044; 0.987037; 0.987167; 1.4276; 1.25995; 5.51951; 7.09349; 0; 0
0.999877; 0.999878; 1.00989; 1.00961; 0.995131; 0.998398; 1.18344; 0.748553; 1.17125; 4.31374; 0; 0
0.999893; 0.999984; 1.00745; 1.0104; 0.991602; 0.995386; 1.1662; 0.800872; 1.1852; 6.19737; 0; 0
1.00037; 0.99885; 0.988741; 0.984972; 1.00082; 0.999394; 0.949986; 0.936911; 1.20146; 3.63339; 0; 1
0.992984; 0.999869; 1.01302; 1.0131; 1.01217; 1.00584; 1.05679; 1.14504; 3.62477; 2.77674; 0; 0
0.991146; 0.98864; 1.02988; 1.04006; 1.01798; 1.00273; 0.924356; 1.03767; 5.03587; 4.09709; 0; 0
0.997657; 1.00066; 1.02056; 1.0185; 1.00021; 1.00186; 1.1944; 1.11883; 3.22695; 0.575367; 0; 0
0.999894; 0.999893; 1.01423; 1.01399; 0.995262; 0.995261; 1.70665; 1.63983; 1.32238; 1.77173; 0; 0
0.999886; 0.999886; 1.01478; 1.01454; 0.994882; 0.994882; 1.89451; 1.81034; 0.545679; 1.43918; 0; 0
0.999772; 0.999759; 1.0346; 1.03454; 0.990065; 0.990053; 1.72823; 1.81832; 1.12242; 2.09439; 0; 0
1.00081; 1.00123; 1.03486; 1.03514; 0.992741; 0.993747; 1.77784; 1.82824; 0.882138; 1.7878; 0; 0
1.00299; 0.988937; 1.01718; 1.02512; 1.0032; 1.0042; 1.40117; 1.08868; 1.41805; 10.1324; 0; 0
0.997903; 0.997255; 1.02418; 1.0276; 1.00559; 1.00071; 1.15707; 1.8444; 8.30669; 1.71322; 0; 1
1.00615; 1.00552; 1.0165; 1.01344; 1.01088; 0.992422; 1.70105; 1.57144; 1.32095; 2.83436; 0; 0
0.99584; 1.00254; 1.0267; 1.02029; 1.03287; 0.994192; 1.61522; 1.72777; 2.21288; 2.49693; 0; 0
1.00625; 1.00573; 1.01928; 1.0223; 1.01138; 0.99151; 1.64956; 1.59086; 1.25917; 2.05105; 0; 0
0.998978; 0.989231; 0.987299; 0.99206; 0.995129; 0.982921; 1.20174; 1.24063; 0.23509; 1.73498; 0; 0
0.998544; 0.999447; 1.01506; 1.00408; 1.00095; 1.00609; 0.988623; 0.986992; 4.15916; 7.41278; 0; 4
0.995474; 0.997739; 1.0266; 1.01615; 1.00812; 1.00955; 1.12085; 1.03099; 2.27394; 2.75485; 0; 1
0.989703; 0.994311; 1.01371; 1.01301; 0.988618; 1.01823; 0.982592; 1.04409; 4.23276; 7.43256; 0; 2
0.999161; 1.0106; 1.02981; 0.995848; 1.03507; 0.997995; 1.43557; 1.68842; 4.88569; 10.7825; 0; 0
0.999606; 0.996111; 0.99214; 0.987659; 0.996899; 1.00221; 1.11628; 1.06073; 0.487428; 1.23306; 0; 1
0.997255; 1.00195; 1.03013; 1.02857; 1.01278; 0.99951; 1.05287; 1.17586; 9.55814; 3.4865; 0; 0
1.00252; 1.01048; 1.01647; 0.99452; 1.02603; 0.993059; 1.44842; 1.08706; 3.88706; 1.06943; 0; 0
0.986388; 0.989354; 1.03315; 1.01256; 1.04405; 1.03165; 1.34231; 1.44679; 2.5778; 1.53491; 0; 2
1.00246; 1.00472; 1.00234; 0.999653; 1.00781; 1.01244; 1.443; 1.40278; 3.66133; 1.46228; 0; 0
1.00144; 0.986101; 1.01334; 1.01103; 1.0085; 1.01351; 1.03964; 0.991507; 4.41835; 3.57328; 0; 1
0.969909; 0.998943; 1.0811; 1.01506; 1.02; 0.997194; 1.26949; 1.13616; 5.31993; 8.80175; 0; 0
1.01029; 0.99197; 1.00391; 1.00167; 1.00631; 1.01894; 1.25789; 0.973353; 6.93865; 3.04727; 0; 1
0.98742; 0.979646; 1.0243; 1.00994; 1.00937; 1.01556; 0.971156; 0.948617; 2.58638; 3.37271; 0; 3
0.998883; 1.00477; 0.999236; 0.994702; 1.02022; 0.99503; 0.858664; 0.773535; 2.48186; 5.56728; 0; 0
0.997159; 0.999748; 1.03742; 1.03244; 1.01089; 0.988405; 1.17939; 1.43218; 7.02226; 0.991083; 0; 0
1.00574; 0.995978; 1.00326; 1.01182; 0.998372; 1.00989; 1.08539; 1.13702; 1.35642; 5.08673; 0; 0
0.993822; 0.995428; 1.01478; 1.0133; 1.00207; 0.998751; 1.04183; 1.19217; 3.93005; 4.98572; 0; 0
0.995702; 1.00011; 1.04204; 1.01645; 1.06278; 1.01995; 0.822234; 0.874877; 6.03722; 2.0824; 0; 0
1.0006; 0.999801; 1.02959; 1.02793; 1.03155; 1.01858; 1.12143; 1.04451; 4.375; 2.16076; 0; 0
0.996569; 0.995509; 1.02711; 1.01892; 1.00328; 1.01565; 1.26998; 1.36522; 3.90714; 4.04089; 0; 0
1.00152; 1.00165; 1.03583; 1.03946; 0.985944; 0.990267; 1.09022; 1.05755; 4.91206; 2.09558; 0; 0
0.999529; 1.00642; 0.995226; 1.00549; 1.00175; 0.997525; 1.00862; 0.938278; 5.72856; 6.34655; 0; 0
1.00374; 0.999377; 1.02617; 1.02342; 0.998819; 0.984804; 1.06953; 1.33055; 6.07407; 10.1074; 0; 0
0.995946; 0.999963; 1.00319; 0.994711; 1.02181; 0.998796; 0.8918; 0.892713; 3.05038; 4.77343; 0; 0
0.994269; 0.994134; 1.00514; 0.994038; 0.994789; 1.00081; 0.863827; 1.03686; 0.75513; 1.41926; 0; 0
1.00212; 1.00218; 1.01203; 1.01456; 0.996748; 0.996813; 0.85639; 0.921442; 1.75849; 2.90251; 0; 0
0.996601; 0.99615; 1.04237; 1.03307; 0.986492; 0.980803; 0.924214; 0.913593; 4.93712; 5.70072; 0; 0
1.00014; 1.00017; 1.02635; 1.02737; 0.997202; 0.997241; 1.34593; 1.06746; 1.27202; 2.73827; 0; 0
0.998268; 0.997989; 1.01125; 1.01343; 1.00239; 1.00196; 1.30119; 1.16049; 1.91501; 3.23237; 0; 0
1.00007; 0.995806; 1.03469; 1.03855; 0.99943; 1.0022; 0.873662; 0.871393; 5.03669; 4.73179; 0; 0
0.99347; 0.999737; 1.07658; 1.04396; 1.01066; 0.991293; 1.13813; 1.045; 4.62388; 4.05602; 0; 0
0.99992; 0.999921; 1.03261; 1.03358; 0.997458; 0.997459; 0.90895; 1.00917; 7.50266; 3.13512; 0; 0
1.0102; 1.0102; 1.01814; 1.01773; 0.989155; 0.989155; 0.895254; 0.956095; 6.51465; 2.83841; 0; 0
1.00008; 0.998328; 1.01215; 1.01001; 1.00006; 1.00436; 0.963755; 1.06141; 3.43644; 3.39225; 0; 1
1.00029; 1.00007; 1.01352; 1.0134; 1.00176; 1.0001; 1.14008; 1.19655; 1.00439; 0.747582; 0; 0
0.999767; 0.999959; 1.0228; 1.01952; 1.00359; 0.998428; 1.29943; 1.19751; 5.03041; 10.9006; 0; 0
0.999306; 1.0093; 1.0175; 1.01047; 1.00638; 1.00514; 1.14641; 1.2559; 5.00694; 8.41956; 0; 0
0.998984; 1.00051; 1.01098; 1.00994; 0.995026; 1.00307; 1.01755; 1.1893; 4.87639; 7.23722; 0; 0
1.00013; 1.0052; 1.00836; 1.00096; 1.01859; 0.999092; 1.42062; 1.3592; 4.2945; 4.40262; 0; 0
0.99991; 0.994304; 1.0055; 1.0133; 0.999862; 1.01115; 1.27888; 1.33462; 1.8215; 4.01557; 0; 0
0.989388; 1; 1.0182; 1.00965; 1.04813; 1; 1.14298; 1.09505; 3.65335; 1.14987; 0; 0
0.999491; 0.998329; 1.01213; 1.00894; 0.998838; 0.997677; 1.1674; 1.20345; 1.81013; 2.02643; 0; 0
0.999845; 0.999797; 1.00516; 1.00691; 0.994911; 1.00596; 0.991968; 1.06988; 0.752865; 11.2291; 0; 0
1.00199; 0.999349; 1.00262; 1.0044; 1.01031; 1.01009; 1.11708; 1.28871; 1.4052; 1.82141; 0; 0
0.99712; 0.999618; 1.02559; 1.01999; 1.04859; 1.02003; 1.12342; 1.10721; 4.27977; 3.62013; 0; 0
1.00041; 1.00148; 1.0579; 1.05497; 1.01837; 0.999354; 1.1026; 0.866299; 5.39946; 4.39333; 0; 0
0.999832; 0.999844; 1.0522; 1.05615; 1.01619; 1.01103; 1.12637; 1.06016; 2.38433; 2.21002; 0; 0
0.99812; 0.999816; 0.995103; 0.986796; 1.00557; 1.00339; 1.06457; 1.06996; 0.879243; 1.25308; 0; 0
1.00006; 0.999955; 1.02232; 1.02127; 0.999119; 1.00124; 1.11068; 1.07237; 2.44139; 3.47975; 0; 0
0.996242; 1.00002; 1.00206; 0.999676; 1.01323; 1.00351; 1.22136; 1.18757; 4.63796; 1.75659; 0; 1
0.998661; 1.00011; 1.00609; 1.00562; 1.00798; 1.00196; 1.24611; 1.15742; 5.33646; 2.48809; 0; 0
0.999808; 0.999806; 1.00433; 1.00451; 1.01505; 1.02501; 1.11767; 1.26873; 0.189428; 0.490953; 0; 0
0.999752; 0.999758; 1.01775; 1.01841; 1.00024; 1.00021; 1.16889; 1.12537; 3.20868; 2.06331; 0; 0
0.990109; 0.997057; 1.02621; 1.02296; 1.01525; 1.00162; 1.09002; 1.11868; 3.47598; 2.25218; 0; 0
1; 1; 1.00927; 1.00858; 1; 1; 1.08638; 1.14909; 0.998498; 1.43764; 0; 0
1; 0.996322; 1.00872; 1.01722; 1; 1.00817; 1.10569; 1.15758; 0.354152; 2.20606; 0; 0
