RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_collisions    ; ORCA_collisions   
0.999826; 0.999826; 1.0203; 1.02052; 0.991894; 0.991894; 0.8248; 0.905464; 0.512995; 0.941331; 0; 0
0.99405; 0.99443; 1.05069; 1.03342; 0.99824; 1.0066; 1.03154; 1.0951; 0.225174; 3.17524; 0; 0
1.00063; 1.00152; 1.00835; 1.00398; 1.00534; 1.00451; 0.998813; 1.07272; 0.555538; 1.40243; 0; 0
1.00378; 1.00458; 0.99271; 0.987625; 1.01287; 1.00902; 1.10003; 0.980112; 1.70308; 3.94157; 0; 3
0.999394; 0.992903; 1.03153; 1.0443; 1.00444; 0.985638; 1.13307; 1.07831; 5.9899; 11.7954; 0; 0
0.990876; 0.994693; 1.00637; 1.00138; 1.015; 1.03278; 1.14347; 1.11257; 0.0873409; 0.285749; 0; 0
1.00349; 1.00167; 1.0069; 0.992021; 1.0067; 0.999796; 1.09231; 0.938365; 2.32206; 8.2944; 0; 3
0.998864; 1.00609; 1.00657; 0.992042; 1.01422; 0.996186; 0.892428; 0.956235; 6.87148; 7.90932; 0; 2
0.995598; 0.999786; 1.00192; 0.995057; 1.00181; 0.995957; 1.14608; 0.97586; 2.0073; 3.26042; 0; 0
1.00015; 0.995623; 0.997998; 1.00583; 0.993803; 1.01219; 1.05975; 1.12907; 7.2349; 2.71019; 0; 0
1.0003; 1.00083; 0.998765; 0.998703; 0.995561; 0.995347; 1.05073; 1.0932; 7.1819; 2.55832; 0; 0
0.999215; 0.999745; 1.00093; 1.0009; 0.998667; 0.997563; 1.02478; 1.07266; 5.78744; 1.80345; 0; 0
1; 0.999977; 0.999328; 1.00067; 0.99474; 0.998196; 1.01357; 1.10505; 6.11211; 1.98694; 0; 1
